
Joint Seat Allocation Authority 2026
IITs, IISc, NITs, IIEST, IIITs and Other-GFTIs for the Academic Year 2026-27

 Home
 CSC Login
Opening and Closing Ranks
Round No
Institute Type
Institute Name
Academic Program
Seat Type / Category
Opening/Closing Ranks for Open Seats represent CRL. Opening/Closing Ranks for EWS, OBC-NCL, SC and ST Seats represent respective Category Ranks. Opening/Closing Ranks for PwD Seats represent PwD Ranks within Respective Categories.

If the Closing/Opening rank has a suffix 'P', it indicates that the corresponding rank is from Preparatory Rank List.

Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	6859	14763
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Female-only (including Supernumerary)	15637	24023
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Gender-Neutral	2063	2197
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	EWS	Female-only (including Supernumerary)	3605	4069
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Gender-Neutral	4275	5236
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	OBC-NCL	Female-only (including Supernumerary)	8685	9435
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Gender-Neutral	2260	2687
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	SC	Female-only (including Supernumerary)	3702	4117
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Gender-Neutral	989	1079
Indian Institute of Technology Bhubaneswar	Civil Engineering (4 Years, Bachelor of Technology)	AI	ST	Female-only (including Supernumerary)	1128	1190
Indian Institute of Technology Bhubaneswar	Computer Science and Engineering (4 Years, Bachelor of Technology)	AI	OPEN	Gender-Neutral	3022	4582
